id,url,category
recipe_111,https://easy-cooking.com.ua/salaty/page/2/,salad
recipe_112,https://www.unian.ua/recipes/salads,salad
recipe_113,https://picantecooking.com/uk/category/retsepty-salativ,salad
recipe_114,https://kanapulka.com.ua/foto-recepti/recepti-salativ/?srsltid=AfmBOoq971ddLfsxKfibUGp3_JTmRLYWXfT1murbfo-E9GrOf70yHOmd,salad
recipe_115,https://petropavlivka.city/ratings/242492/top-receptiv-kash/28536,porridge
recipe_116,https://cookorama.net/uk/tag/%D0%BA%D0%B0%D1%88%D0%B0/,porridge
recipe_117,https://klopotenko.com/shho-dodaty-do-kashi-prosti-reczepty-smachnyh-strav-vid-yevgena-klopotenka/,porridge
recipe_118,https://thegard.city/articles/190551/sekreti-smachnoi-kashi-recepti-z-krupi,porridge
recipe_119,https://nv.ua/ukr/food/eat/tasteatlas-20-naykrashchih-receptiv-kash-z-usogo-svitu-dlya-riznih-vipadkiv-50535455.html,porridge
recipe_120,https://shuba.life/articles/19345-15-neymovirnykh-kash-z-usoho-svitu-na-snidanok-obid-i-vecheriu,porridge
recipe_121,https://www.milkalliance.com.ua/blog/ua/stattya/yak-shvydko-pryhotuvaty-smachnu-kashu-z-maslom-prosti-retsepty/amp,porridge
recipe_122,https://www.unian.ua/lite/advice/kak-varit-pshennuyu-kashu-na-vode-chtoby-byla-rassypchatoy-layfhaki-13054881.html,porridge
recipe_123,https://fact-news.com.ua/smachna-ta-zdorova-kasha-retsepti-ta-variatsii-najkrashi-retsepti-kash-dlya-zdorovogo-xarchuvannya/,porridge
recipe_124,https://patelnya.com.ua/category/retsepty/zdorove-harchuvannya-retsepty/,healthy_food
recipe_125,https://klopotenko.com/c/zdorove-harchuvannya/,healthy_food
recipe_126,https://onclinic.ua/blog/recepty-pravylne-kharchuvannya-z-choho-pochaty,healthy_food
recipe_127,https://patelnya.com.ua/category/deshevo-ta-shvydko/,budget
recipe_128,https://weukraine.tv/lifestyle/smachni-ta-bjudzhetni-stravi-na-kozhen-den-top-5-prostikh-retseptiv-z-dostupnikh-inhredijentiv-/,budget
recipe_129,https://klopotenko.com/dobirka-strav-voyennogo-chasu-nedorogi-reczepty-z-prostyh-ingrediyentiv/,budget
recipe_130,https://picantecooking.com/uk/category/byudzhetni-retsepti,budget
